N3C1W2_O.BPP: OK (Solução = 127, Bins usados = 127)
N3C1W2_P.BPP: OK (Solução = 126, Bins usados = 126)
N3C1W2_Q.BPP: OK (Solução = 135, Bins usados = 135)
N3C1W2_R.BPP: OK (Solução = 123, Bins usados = 123)
N3C1W2_S.BPP: OK (Solução = 130, Bins usados = 130)
N3C1W2_T.BPP: OK (Solução = 136, Bins usados = 136)
N3C1W4_A.BPP: OK (Solução = 149, Bins usados = 149)
N3C1W4_B.BPP: OK (Solução = 149, Bins usados = 149)
N3C1W4_C.BPP: OK (Solução = 146, Bins usados = 146)
N3C1W4_D.BPP: OK (Solução = 148, Bins usados = 148)
N3C1W4_E.BPP: OK (Solução = 142, Bins usados = 142)
N3C1W4_F.BPP: OK (Solução = 140, Bins usados = 140)
N3C1W4_G.BPP: OK (Solução = 148, Bins usados = 148)
N3C1W4_H.BPP: OK (Solução = 141, Bins usados = 141)
N3C1W4_I.BPP: OK (Solução = 140, Bins usados = 140)
N3C1W4_J.BPP: OK (Solução = 142, Bins usados = 142)
N3C1W4_K.BPP: OK (Solução = 147, Bins usados = 147)
N3C1W4_L.BPP: OK (Solução = 148, Bins usados = 148)
N3C1W4_M.BPP: OK (Solução = 149, Bins usados = 149)
N3C1W4_N.BPP: OK (Solução = 148, Bins usados = 148)
N3C1W4_O.BPP: OK (Solução = 143, Bins usados = 143)
N3C1W4_P.BPP: OK (Solução = 143, Bins usados = 143)
N3C1W4_Q.BPP: OK (Solução = 146, Bins usados = 146)
N3C1W4_R.BPP: OK (Solução = 145, Bins usados = 145)
N3C1W4_S.BPP: OK (Solução = 145, Bins usados = 145)
N3C1W4_T.BPP: OK (Solução = 146, Bins usados = 146)
N3C2W1_A.BPP: OK (Solução = 91, Bins usados = 91)
N3C2W1_B.BPP: OK (Solução = 82, Bins usados = 82)
N3C2W1_C.BPP: OK (Solução = 84, Bins usados = 84)
